P_serialNumber,P_LocatorID,P_invItemId,P_subinventoryCode
S20190520101881,434186,8426,RMA VD RPR
2.00055E+13,435953,6216,Receiving
9910578921,435970,9769,Pick
SAS2348270667,610299,6223,Staging
SFJC25301VKC,610299,93160,Staging
SFJC25151L1B,610299,93160,Staging
SFOC2513L1H6,610299,93160,Staging
SFJC2517168H,610299,93160,Staging
SFOC2512L0L0,610299,93160,Staging
SFJC251611NW,610299,93160,Staging
SFOC2512LC7C,610299,93160,Staging
SFJC251715HG,610299,93160,Staging
SFJC25151BDZ,610299,93160,Staging
SFJC2516150L,610299,93160,Staging
SFOC2512LKTE,610299,93160,Staging
SFJC251715ED,610299,93160,Staging
SFOC2512LKPL,610299,93160,Staging
SFJC25171961,610299,93160,Staging
SFOC2512LC9S,610299,93160,Staging
SFOC2513L9BU,610299,93160,Staging
SFOC2512LKMK,610299,93160,Staging
SFJC251612MA,610299,93160,Staging
SFJC25161Q4D,610299,93160,Staging
SFJC25161PRM,610299,93160,Staging
SFJC2517177G,610299,93160,Staging
SFOC2512LCFD,610299,93160,Staging
SFJC251715QN,610299,93160,Staging
SFJC2517166Q,610299,93160,Staging
SFJC25171620,610299,93160,Staging
SFJC2517172L,610299,93160,Staging
SFJC251719VJ,610299,93160,Staging
SFOC2512LKHL,610299,93160,Staging
SFJC25151QAD,610299,93160,Staging
SFJC25151LD6,610299,93160,Staging
SFOC2512LC0Q,610299,93160,Staging
SFOC2512LKUR,610299,93160,Staging
SFOC2512LKHE,610299,93160,Staging
SFJC25161BPN,610299,93160,Staging
SFOC2512LKXV,610299,93160,Staging
SFJC253021HH,610299,93160,Staging
SFOC2512LC0L,610299,93160,Staging
SFOC2512LKXJ,610299,93160,Staging
SFOC2512LKEQ,610299,93160,Staging
SFJC25161B03,610299,93160,Staging
SFOC2512LKNQ,610299,93160,Staging
SFOC2512L0NS,610299,93160,Staging
SFJC25161RR5,610299,93160,Staging
SFJC25171625,610299,93160,Staging
SFOC2513L1K0,610299,93160,Staging
4.04706E+17,612752,5248,Staging
4.04706E+17,612752,5248,Staging
S20183520100716,612978,8426,RMA PTS
S20069520101031,612978,8426,RMA PTS
PA07P14866,623138,31047,Pick
PA07P14863,623138,31047,Pick
140,623620,9771,Staging
153,623757,9771,Staging
IDFC10142021123,626125,6549,Staging
MXL3212Z69,628980,4158,Receiving
5CG1441KWF,628564,3206,Staging
714202301,629054,33005,Staging
12J203300252,633592,13620,Staging
12J202100039,636023,13620,Staging
12J202100031,636023,13620,Staging
S20141520100331,635710,4260,Missing
99J213004376,635913,103323,RMA PTS
99J212404371,635913,3348,RMA PTS
99J213503337,635913,2252,RMA PTS
99J213003571,635913,5258,RMA PTS
99J211101607,635913,5258,RMA PTS
99J213306469,635913,6861,RMA PTS
99J211005654,635913,6861,RMA PTS
99J212801571,635913,6861,RMA PTS
99J211005636,635913,6861,RMA PTS
99J213306467,635913,6861,RMA PTS
99J202501469,635913,5196,RMA PTS
99J212400958,635913,5196,RMA PTS
18J201705340,635919,5607,RMA PTS
99N223600487,635919,103323,RMA PTS
18J191104014,635919,103323,RMA PTS
18J191908429,635919,103323,RMA PTS
18J174100948,635919,103323,RMA PTS
99N223501034,635919,5258,RMA PTS
99J204001246,635919,5258,RMA PTS
99J204802374,635919,5258,RMA PTS
99J204001248,635919,5258,RMA PTS
99J210302383,635919,5258,RMA PTS
99J204300144,635919,5258,RMA PTS
99J210406650,635919,5258,RMA PTS
99J205001313,635919,5258,RMA PTS
99J213503330,635919,6861,RMA PTS
99J212705089,635919,6861,RMA PTS
18J190806807,635919,5196,RMA PTS
18J183401860,635925,5607,RMA PTS
99J202901369,635925,103323,RMA PTS
18J190901190,635925,103323,RMA PTS
99J212401869,635925,103323,RMA PTS
99J213003968,635925,103323,RMA PTS
99J213503325,635925,2252,RMA PTS
99J212402014,635925,5258,RMA PTS
99J213404746,635925,6861,RMA PTS
99J214103168,635925,5196,RMA PTS
N222403678,635925,5196,RMA PTS
99J213005269,635925,5196,RMA PTS
99N222401978,635925,5196,RMA PTS
99J202000496,635925,5196,RMA PTS
05800466305699J200201334,635939,5196,RMA PTS
9904662566,638239,5663,RMA PTS
9903614549,638239,5663,RMA PTS
9903610668,638239,5663,RMA PTS
9920009491,638239,5663,RMA PTS
9903610735,638239,5663,RMA PTS
