P_S03_SerialNumber,P_S03_InvItemId,P_S03_Suvinventorycode,P_S03_Pallet,P_S03_Cage,P_S03_Tote,P_S03_ItemID,P_S03_LocatorID
20079010560019,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19175000500911,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20136010553588,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20149010555965,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19175000501103,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19157000502701,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19176000506674,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
18151000500335,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20149010555860,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19177000500287,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20044010561993,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19176000506828,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19249000501523,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20107010553343,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20013010551930,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19177000500295,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19179000508548,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19253000501240,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20086010551958,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20150010556544,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20109010554183,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20107010557310,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20109010555018,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20109010554236,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19177000500180,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19182000500344,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19158000500288,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
19135000502976,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
S20231520100164,1956,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
23715N0099,2156,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002114,773207
20224N052F,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002330,773207
20253N0716,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21148N0DCE,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
20150N04AD,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21755N09A5,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21145N0854,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21267N0B33,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21755N09A0,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
22433N03BA,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21136N019D,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21137N0094,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21263B602B,1557,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
18219B64AD,2158,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100001083,773207
21261B9173,2158,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002332,773207
22105B42A5,2158,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002332,773207
S21266524201453,2158,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002332,773207
21754N0337,2359,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002332,773207
23644N01B3,4259,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002604,773207
20127N040C,4259,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006824,773207
22734N006E,4259,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006824,773207
19164N0181,8759,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006824,773207
20118N0D3C,8759,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100000032,773207
19176000506811,8759,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100000032,773207
S19355520100429,1960,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100000032,773207
S20356520101178,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002118,773207
20184520100667,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20125520100099,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20186520100787,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20230520100309,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
18194523020269,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20128520101178,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19220523021976,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20258520101438,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20258520101404,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20192520100083,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20219520101763,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21145520101646,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20134520100669,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21141520101320,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20203523020821,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21134520100124,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20168520101497,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20266520100212,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20076520100199,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20111520100263,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20111520100142,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20349520101353,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19236523020035,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21107520101107,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
