P_S02_SerialNumber,P_S02_InvItemId
S21162522508260,8476
S19289522503970,8476
AHZLN204100233,7782
S22137522507215,8476
S21266524202225,8476
S20168522506936,8476
s20168522506936,8476
2.03E+13,8476
2.11E+13,8476
2.22E+13,8476
S21071522507249,8476
2.02E+13,8476
S21070522513089,8476
5CG14613XQ,2440
UPSN5KA21120601,494224
2.12E+13,4260
2.01E+13,7237
S23158522502205,3037
S20200522501845,8476
S19277522500236,7237
S22137522513077,8476
S23159522510749,24091
2.11E+13,3037
5CG1441R95,3206
S20169522504346,7237
G002G402345500QB,60149
5CG1510KPP,24049
0,6216
0,4217
0,8426
0,4260
ZQ63-AUWA000-00,2944
QN4-AUNA0M00-00,4778
S0000000000000,3165
MX000000,83628
mx000000,7738
9.48E+16,3362
4.05E+17,6005
S23266522510000,249150
S23266522510000,1559
4.04E+17,4230
4.04E+17,3746
4.04E+17,7426
4.04E+17,8600
240820000,474151
4.20E+11,3687
9.21E+17,4848
9909093044_30000,8046
00J1040000,1364
00j1040000,93586
4.47E+16,3647
4.47E+16,42171
4.05E+17,8305
4.05E+17,7281
4.05E+17,8305
4.05E+17,7281
9.48E+16,3362
9.21E+16,4848
4.45E+16,21022
QN4AUNA0E0000,4778
379TXM0000,6346
379TWZ0000,6346
d1n211001000,3533
1L6882181123001000,1279
2010101000,1146
2010101000,5984
S21210520101000,8765
S21131520101000,8426
s21131520101000,6216
s21131520101000,4260
2.02E+13,8426
s21137520101000,4260
S20258520101000,8426
S21149520101000,8426
s21179520101000,6216
AHZLN204101000,2944
AHZLN204101000,7782
ahzln204101000,2944
ahzln204101000,3572
S24193524201000,3037
S24193524201000,8476
s21174524201000,3037
s21174524201000,8476
S21176524201000,3037
S21176524201000,3053
S21176524201000,8476
s21176524201000,3037
s21176524201000,8476
s21276524201000,5704
S24198524201000,3037
S24198524201000,8476
S21169524201000,3037
S21169524201000,8476
s21169524201000,8476
D3N220301000,1238
PRS2301000,328149
1.83E+13,3771
D1N212501000,8696
S20200522501000,8476
S23300522501000,3037
S20020522501000,8476
s20020522501000,3037
S19150522501000,3037
S19150522501000,8476
s19150522501000,6576
S18160522501000,6576
S20170522501000,7237
s20170522501000,2209
S23294522501000,3037
S20115522501000,6576
s20115522501000,5105
s20115522501000,2209
S20016522501000,7237
S20016522501000,6576
s20016522501000,6576
s20116522501000,6576
S23166522501000,3037
S23328522501000,3037
S19249522501000,6576
S19249522501000,8476
s19249522501000,6576
AHZLN223501000,2944
AHZLN223501000,7782
AHZLN204501000,2944
S19327523601000,3165
99J210901000,4049
99j210901000,4049
H21A8B01000,1530
K21A8B01000,1530
L21A8B01000,1530
22011000,4217
4.45E+16,42174
4.45E+16,3282
4.45E+16,42174
4.45E+16,3282
S23159522511000,3037
240811000,474151
S24150523021000,328149
S20180523021000,2997
S22061523021000,2144
S24171523021000,328149
1.94E+13,6216
1.94E+13,8426
1.94E+13,4260
s19353523021000,4260
S23293523021000,2144
S24155523021000,328149
S24175523021000,328149
S23185523021000,324149
S20206523021000,2144
s20206523021000,2997
S24156523021000,328149
S23166523021000,324149
S23157523021000,2144
S23318523021000,2144
S24048523021000,2144
S23288523021000,2144
S24119523021000,328149
S24149523021000,328149
s21113522521000,3037
s21113522521000,8476
9906066821_21000,4260
I223031000,6231
4.45E+16,42174
4.45E+16,3282
4.45E+16,42174
4.45E+16,3282
4.45E+16,21022
G090ME0673460PWB-51000,1192
21051000,4217
21051000,5162
SJW3622151000,4840
4.47E+16,3647
4.47E+16,42171
4.47E+16,3647
4.47E+16,42171
4.47E+16,3647
4.47E+16,42171
D7N233251000,7269
sjw3621451000,4840
1.93E+13,3771
18152000501221-61000,8037
18152000501221-61000,1956
18152000501221-61000,3771
sa070322061000,6668
sa070422061000,6668
4.05E+17,8305
4.05E+17,7281
4.05E+17,8305
4.05E+17,7281
SAS2134271000,6223
13081000,4217
S20360520181000,3990
1.09E+14,1279
20091000,4217
20351N1000,14320
20351n1000,2677
ahzln222002000,2944
DGJ243002000,494226
S21111520102000,8426
s21231520102000,4260
S21232520102000,4260
s21258520102000,4260
D1N211102000,1238
S24192524202000,3037
S24192524202000,8476
4.45E+16,42174
4.45E+16,3282
S24106524202000,3037
S24106524202000,8476
99J210302000,4049
99j210302000,4049
99j210302000,5258
XXZLJ201402000,7782
xxzlj201402000,2944
1.63E+13,3771
1.94E+13,7237
1.94E+13,6576
s19350522502000,6576
S23290522502000,3037
S19152522502000,7237
S19152522502000,6576
s20153522502000,24067
s20153522502000,6576
S23324522502000,3037
S23324522502000,8476
S23325522502000,3037
S19245522502000,6576
S19337522502000,7237
s19337522502000,6576
S23167522502000,3037
1.91E+13,6576
S23289522502000,3037
S23289522502000,8476
AHZLN223702000,2944
9.45E+16,3647
9.45E+16,42171
L21A8B02000,1530
s7s2240l02000,5642
s7s2103l02000,5642
7s2113l02000,5642
UPSHNKA22012000,494224
D7J242012000,7269
4.45E+16,42174
4.45E+16,3282
4.45E+16,42174
4.45E+16,3282
4.45E+16,42174
4.45E+16,3282
240812000,474151
S20240523022000,2144
s20240523022000,2144
S24150523022000,328149
S23160523022000,2144
S24154523022000,328149
S24155523022000,328149
S23206523022000,324149
S23156523022000,2144
S24156523022000,328149
S24137523022000,328149
S21128523022000,2144
S20158523022000,2997
S23159523022000,2144
S24089523022000,324149
20122000,4217
UPSHNKA21122000,494224
7.00E+13,3990
S22174522522000,8476
9.45E+16,1036
9909434370_32000,2997
4.45E+16,21022
1A2313PP242000,4909
2.01E+13,1956
3.52E+14,1279
4.05E+17,5248
4.05E+17,8579
9909072000,1279
sas2132192000,3031
SFJC25292000,6131
379TXV2000,6346
379TWZ2000,6346
DGJ242203000,494226
D7J242303000,7269
S23220522503000,3037
S23220522503000,8476
S23331522503000,3037
S23331522503000,8476
S20132522503000,3037
S19133522503000,7237
S19133522503000,6576
s19133522503000,7631
S19154522503000,6576
s19154522503000,7237
s19154522503000,6576
S23166522503000,3037
S23166522503000,5871
S23166522503000,8476
S23297522503000,3037
s22138522503000,3037
S23158522503000,3037
S23158522503000,24063
S23158522503000,8476
99J211703000,103323
L21A8B03000,1530
S5A2034E03000,3687
20041440-13000,4217
S23279522513000,3037
S23279522513000,8476
9905613000,93554
9905613000,5663
240813000,474151
PHDBC13000,2454
S0H2410L13000,2668
22023000,4217
S24150523023000,328149
S23160523023000,2144
S24121523023000,328149
S23041523023000,2997
S24193523023000,328149
S24167523023000,328149
S24148523023000,328149
UPSHNKA21123000,494224
I223033000,8008
1.04E+14,14629
1.04E+14,8046
1.04E+14,7182
9910556337_33000,6005
4.45E+16,42174
4.45E+16,3282
9911843000,1279
1.93E+13,3771
1.93E+13,7797
48522073000,7982
48522073000,82194
00U0873000,1364
00u0873000,93586
SAS2108293000,8406
sas2108293000,5807
S20227523022957-4000,2144
AM35004000,6493
4.47E+16,6347
4.47E+16,3560
D7J212404000,3950
S20151522504000,3037
S20151522504000,8476
S23291522504000,3037
S23291522504000,8476
S23332522504000,3037
S23332522504000,8476
S19063522504000,6576
S23164522504000,3037
S23164522504000,5871
S23164522504000,8476
S23326522504000,3037
S23326522504000,8476
1.91E+13,7237
1.91E+13,6576
1.91E+13,3379
S23287522504000,3037
S23287522504000,8476
AHZLJ213804000,7782
ahzlj213804000,2944
ahzlj213804000,7782
5A1715E04000,1980
S21090522514000,3037
S21090522514000,3455
S22184522514000,3037
240814000,474151
7501252988_14000,5331
0305120420216-24000,5845
s21132523024000,8747
S23162523024000,2144
S21003523024000,2144
S21065523024000,2144
S23166523024000,2144
S23166523024000,324149
S24167523024000,328149
S24148523024000,328149
4.47E+16,6347
4.47E+16,3560
3.52E+14,1279
9910627670_34000,8046
00JC944000,1364
00jc944000,93586
4.47E+16,6347
4.47E+16,3560
4.47E+16,6347
4.47E+16,3560
1.93E+13,3771
3.52E+14,1279
376TAD4000,7882
379TXX4000,6346
99j210305000,4049
S23301522505000,249150
S20202522505000,3037
S20202522505000,8476
S20163522505000,7631
S22184522505000,3037
S23165522505000,3037
S23165522505000,5871
S19127522505000,7237
S19127522505000,5261
S19127522505000,6576
S23287522505000,3037
S23287522505000,8476
s21078522505000,3037
s21078522505000,8476
S5A2028E05000,3687
VND3F15000,2454
S22200523025000,2144
